epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.02153,1.03248,2.79781,1.10932,0.0115,0.37347,0.27806,0.21723,0.97525,2.94367,0.97169,0.00018337,0.00018337,0.00018337
2,5.00805,1.06299,1.56256,1.08167,0.95758,0.17613,0.27293,0.20443,1.10831,2.5449,1.02687,0.000382145,0.000382145,0.000382145
3,6.3799,1.0526,1.3169,1.0965,0.97234,0.10457,0.23442,0.1641,1.24345,2.82658,1.08671,0.000579599,0.000579599,0.000579599
4,7.71608,1.04942,1.17083,1.06683,0.87491,0.20408,0.36992,0.24367,1.18989,2.07833,1.10403,0.000775733,0.000775733,0.000775733
5,9.04031,1.11263,1.21928,1.11726,0.93153,0.17959,0.34613,0.21926,1.29645,2.30952,1.12413,0.000970547,0.000970547,0.000970547
6,10.2521,1.07338,1.12946,1.09203,0.8707,0.26376,0.53704,0.34288,1.20821,1.87784,1.12317,0.00116404,0.00116404,0.00116404
7,11.4064,1.03985,1.08566,1.07128,0.7936,0.42189,0.56721,0.34725,1.1979,1.61634,1.15607,0.00135621,0.00135621,0.00135621
8,12.5542,1.03212,1.06186,1.07552,0.88244,0.45363,0.59632,0.36915,1.19162,1.65708,1.13997,0.00154707,0.00154707,0.00154707
9,13.7153,1.06206,1.04065,1.05835,0.79584,0.57396,0.62867,0.37531,1.20675,1.31683,1.17149,0.00162299,0.00162299,0.00162299
10,14.8745,1.04618,1.01963,1.07671,0.71816,0.49194,0.53566,0.29059,1.33729,1.45486,1.23302,0.00161749,0.00161749,0.00161749
11,16.004,1.04852,0.95507,1.05733,0.65682,0.51919,0.5441,0.33718,1.21395,1.39236,1.19667,0.00161199,0.00161199,0.00161199
12,17.165,1.03777,0.94711,1.06749,0.76323,0.51992,0.59151,0.34963,1.26852,1.24452,1.17908,0.00160649,0.00160649,0.00160649
13,18.3236,0.99459,0.9006,1.03981,0.81221,0.61007,0.68684,0.42052,1.15802,1.04096,1.12371,0.00160099,0.00160099,0.00160099
14,19.4285,0.99709,0.88586,1.04799,0.77312,0.59338,0.66654,0.40611,1.20512,1.04857,1.14934,0.00159549,0.00159549,0.00159549
15,20.5332,0.99118,0.88418,1.0542,0.78146,0.62612,0.69151,0.43707,1.13119,0.97352,1.10519,0.00158998,0.00158998,0.00158998
16,21.6095,0.98685,0.86736,1.03848,0.76215,0.65032,0.69078,0.41923,1.18528,1.01996,1.14277,0.00158448,0.00158448,0.00158448
17,22.6722,0.95211,0.85371,1.02423,0.77341,0.64336,0.70691,0.42362,1.16631,0.99401,1.13985,0.00157898,0.00157898,0.00157898
18,23.761,0.9912,0.85602,1.05529,0.85687,0.62182,0.67054,0.40293,1.18758,1.08942,1.14726,0.00157348,0.00157348,0.00157348
19,24.8704,0.98624,0.82608,1.04147,0.69004,0.52716,0.54532,0.30558,1.33529,1.45315,1.24515,0.00156798,0.00156798,0.00156798
20,25.9492,0.97241,0.82055,1.05493,0.74117,0.55295,0.57435,0.34722,1.24924,1.37389,1.15865,0.00156248,0.00156248,0.00156248
21,27.0524,0.95957,0.80812,1.03294,0.86426,0.58927,0.65228,0.41652,1.14763,1.04892,1.12859,0.00155698,0.00155698,0.00155698
22,28.5855,0.93765,0.77085,1.0054,0.86829,0.65114,0.69828,0.41558,1.13552,0.90398,1.11138,0.00155148,0.00155148,0.00155148
23,29.7081,0.92417,0.76656,1.0174,0.8873,0.58161,0.68212,0.43256,1.1164,0.93001,1.11158,0.00154598,0.00154598,0.00154598
24,30.8549,0.93913,0.7551,1.01845,0.82333,0.64021,0.68861,0.42279,1.14557,0.92834,1.11732,0.00154047,0.00154047,0.00154047
25,31.9589,0.94528,0.76669,1.012,0.811,0.66635,0.70122,0.42229,1.14374,0.84351,1.10611,0.00153497,0.00153497,0.00153497
26,33.017,0.92754,0.74612,1.01331,0.89691,0.65245,0.7065,0.43924,1.10738,0.81169,1.08299,0.00152947,0.00152947,0.00152947
27,34.0922,0.92356,0.74691,1.0221,0.79975,0.6308,0.68646,0.40958,1.15237,0.8941,1.14436,0.00152397,0.00152397,0.00152397
