epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.583,1.56221,2.4837,1.80143,0.58653,0.31562,0.53169,0.22314,1.69952,2.42943,1.68209,0.000548721,0.000548721,0.000548721
2,35.8681,1.44698,1.82541,1.64387,0.63095,0.60391,0.64128,0.29021,1.69844,1.98121,1.76755,0.0011022,0.0011022,0.0011022
3,51.428,1.46033,1.6503,1.67424,0.60561,0.53738,0.57378,0.26578,1.9255,1.7022,1.96832,0.00165348,0.00165348,0.00165348
4,66.9321,1.44761,1.47358,1.65161,0.77521,0.67665,0.76754,0.39552,1.59406,1.28267,1.63077,0.0016571,0.0016571,0.0016571
5,82.427,1.40661,1.34258,1.62843,0.68059,0.6664,0.70864,0.36967,1.5984,1.63036,1.68243,0.0016538,0.0016538,0.0016538
6,97.881,1.39524,1.27939,1.63037,0.78779,0.6962,0.7688,0.37511,1.63883,1.22165,1.64687,0.0016505,0.0016505,0.0016505
7,113.33,1.38492,1.22093,1.61266,0.82247,0.67723,0.75059,0.35318,1.79449,1.32484,1.79813,0.0016472,0.0016472,0.0016472
8,128.749,1.36609,1.18443,1.58979,0.76042,0.74374,0.79483,0.39659,1.56016,1.32616,1.6072,0.0016439,0.0016439,0.0016439
9,144.094,1.34502,1.14257,1.57325,0.85063,0.77461,0.81841,0.42683,1.61024,1.08502,1.62972,0.00164059,0.00164059,0.00164059
10,159.488,1.32089,1.1232,1.54251,0.82432,0.74017,0.81334,0.43467,1.54752,1.1975,1.62353,0.00163729,0.00163729,0.00163729
11,174.782,1.28824,1.08205,1.52747,0.82236,0.74978,0.8252,0.46491,1.37689,1.03803,1.48553,0.00163399,0.00163399,0.00163399
12,190.147,1.29241,1.0563,1.53095,0.83652,0.7833,0.84413,0.46152,1.46436,1.02144,1.55138,0.00163069,0.00163069,0.00163069
13,205.579,1.26695,1.02259,1.51768,0.84772,0.78141,0.85038,0.4761,1.4289,0.99675,1.52487,0.00162739,0.00162739,0.00162739
14,221.003,1.25759,1.0212,1.50594,0.79613,0.80596,0.82276,0.45438,1.44066,1.10493,1.496,0.00162409,0.00162409,0.00162409
15,236.306,1.26944,1.01862,1.51397,0.84872,0.77472,0.83659,0.47271,1.48238,0.96263,1.63297,0.00162079,0.00162079,0.00162079
16,251.579,1.25112,1.00475,1.50338,0.86243,0.79111,0.84917,0.48176,1.39687,0.91336,1.49327,0.00161749,0.00161749,0.00161749
17,266.892,1.23779,0.97824,1.4968,0.8862,0.7708,0.86481,0.50266,1.37608,0.8924,1.47086,0.00161419,0.00161419,0.00161419
18,282.21,1.2421,0.97647,1.5031,0.87552,0.78448,0.86451,0.4526,1.48161,0.9664,1.53933,0.00161089,0.00161089,0.00161089
19,297.64,1.2017,0.94647,1.47153,0.85346,0.77488,0.84364,0.44688,1.54183,0.96581,1.62835,0.00160759,0.00160759,0.00160759
20,313.066,1.21278,0.9361,1.47056,0.80541,0.81054,0.85473,0.53475,1.26005,0.90861,1.41354,0.00160429,0.00160429,0.00160429
21,328.406,1.21434,0.93771,1.47664,0.87329,0.79047,0.86626,0.51652,1.37872,0.84944,1.47636,0.00160099,0.00160099,0.00160099
22,343.735,1.20464,0.90395,1.4604,0.8672,0.7778,0.84971,0.50349,1.31772,0.92256,1.44957,0.00159769,0.00159769,0.00159769
23,359.01,1.19851,0.91003,1.44557,0.88258,0.80129,0.88857,0.51585,1.34953,0.85086,1.42353,0.00159439,0.00159439,0.00159439
24,374.273,1.18248,0.89682,1.44657,0.87941,0.76961,0.87134,0.54511,1.27803,0.82085,1.4017,0.00159108,0.00159108,0.00159108
