epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.88049,1.02332,1.63443,1.18402,0.81056,0.33099,0.63585,0.40776,1.06904,1.92782,1.13073,0.000548721,0.000548721,0.000548721
2,16.7205,1.06891,1.11925,1.19605,0.71134,0.66875,0.70545,0.44308,1.13405,1.14869,1.27432,0.00110074,0.00110074,0.00110074
3,23.3842,1.09854,1.09447,1.22428,0.67935,0.69375,0.70527,0.41795,1.22909,1.24415,1.32217,0.0016491,0.0016491,0.0016491
4,30.1018,1.10203,1.02041,1.21084,0.76502,0.67284,0.71643,0.43325,1.16585,1.09394,1.2798,0.0016505,0.0016505,0.0016505
5,36.8437,1.05587,0.94363,1.19268,0.7855,0.69132,0.73232,0.46388,1.11664,0.9362,1.22369,0.001645,0.001645,0.001645
6,43.6399,1.08139,0.92443,1.20916,0.86681,0.71942,0.78787,0.50943,1.04124,0.87416,1.15107,0.00163949,0.00163949,0.00163949
7,50.5793,1.02138,0.84836,1.17015,0.85225,0.72318,0.78479,0.50118,1.04557,0.92148,1.14529,0.00163399,0.00163399,0.00163399
8,57.2405,1.01729,0.83741,1.16785,0.85963,0.73867,0.81484,0.51814,1.05297,0.80571,1.15529,0.00162849,0.00162849,0.00162849
9,63.928,0.9939,0.80021,1.1529,0.82727,0.70536,0.78578,0.52321,1.00842,0.86193,1.12526,0.00162299,0.00162299,0.00162299
10,70.66,1.00178,0.79178,1.14848,0.88518,0.76397,0.82297,0.53522,0.98091,0.75438,1.10102,0.00161749,0.00161749,0.00161749
11,77.1547,0.9794,0.77339,1.14063,0.86242,0.73713,0.80358,0.54725,1.01671,0.75686,1.129,0.00161199,0.00161199,0.00161199
12,83.7764,0.97142,0.75852,1.14084,0.86244,0.73593,0.80324,0.5195,1.04473,0.79324,1.16151,0.00160649,0.00160649,0.00160649
13,90.3129,0.94751,0.73523,1.12644,0.88802,0.74194,0.81302,0.54738,0.98277,0.73988,1.10505,0.00160099,0.00160099,0.00160099
14,96.783,0.94658,0.71979,1.12317,0.89999,0.75224,0.82796,0.55686,0.96508,0.7213,1.11301,0.00159549,0.00159549,0.00159549
15,103.336,0.95325,0.71987,1.13078,0.88757,0.76646,0.82524,0.55381,0.96823,0.73148,1.10573,0.00158998,0.00158998,0.00158998
16,109.75,0.9305,0.70889,1.12646,0.89422,0.76575,0.8381,0.57822,0.92853,0.67267,1.08432,0.00158448,0.00158448,0.00158448
17,116.209,0.9323,0.70837,1.11992,0.87658,0.76279,0.83469,0.56784,0.96742,0.68764,1.07585,0.00157898,0.00157898,0.00157898
18,122.836,0.92604,0.68988,1.10884,0.89258,0.77953,0.83461,0.58565,0.89393,0.64654,1.06203,0.00157348,0.00157348,0.00157348
19,129.413,0.90003,0.67113,1.10023,0.87361,0.7906,0.83514,0.58057,0.9251,0.67357,1.08501,0.00156798,0.00156798,0.00156798
